"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1966865009033584665","Sat Sep 13 14:02:15 +0000 2025","17","Mantan Kepala Cabang Bank BUMN Sukabumi Utara Rihandani ditangkap Kejari Sukabumi di Rangkasbitung usai dua kali mangkir pemeriksaan terkait korupsi kredit bank. Kini ia diserahkan ke penyidik Pidsus dan ditahan 20 hari untuk pemeriksaan lanjutan. #korupsikredit #lip6an https://t.co/bojsf639c9","1966865009033584665","https://pbs.twimg.com/media/G0u1SrSWwAAMror.jpg","","in","","1","4","6","https://x.com/undefined/status/1966865009033584665","47596019",
"1966864988003594338","Sat Sep 13 14:02:10 +0000 2025","38","Tom Lembong saat sesi foto di Kantor Tempo Palmerah Jakarta 15 Agustus 2025. Tom mendapat abolisi dari Presiden Prabowo Subianto atas tuduhan korupsi impor gula. Malming belanja marc https://t.co/Wrdq93inED","1966864988003594338","https://pbs.twimg.com/media/G0u0UlJbcAEbOCx.jpg","","in","","0","3","5","https://x.com/undefined/status/1966864988003594338","3797534720",
"1966471868342223142","Sat Sep 13 14:01:34 +0000 2025","0","@tempodotco Korupsi terang terangan ya ","1966864838908670023","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1966864838908670023","1225919628066471936",
"1966864570217082929","Sat Sep 13 14:00:30 +0000 2025","1","Skandal korupsi banjir memicu kemarahan rakyat Filipina. Demonstrasi menyerukan agar militer menarik dukungan dari Presiden Marcos namun militer menolaknya. #Internasional #AdadiKompas https://t.co/1YbhY5supI","1966864570217082929","","","in","","0","0","0","https://x.com/undefined/status/1966864570217082929","255866913",
"1966781209196859633","Sat Sep 13 14:00:11 +0000 2025","79","Terdakwa korupsi berdalih tidak niat untuk mencuri ? Aneh !!! https://t.co/VBYDUKmWY1","1966864489393062331","","PakarINTELek","in","","0","4","9","https://x.com/undefined/status/1966864489393062331","194582998",
"1966760403280535713","Sat Sep 13 13:59:13 +0000 2025","0","@randomable_ @DPR_RI giliran gini aje bawa tuhan..lu pada korupsi kgk inget tuhan..","1966864246895227163","","randomable_","in","","0","0","0","https://x.com/undefined/status/1966864246895227163","1644694161751429121",
"1966769041374408852","Sat Sep 13 13:57:50 +0000 2025","0","@KangManto123 Sdh naik langka lagi trus di korupsi lagi cape deh...","1966863898218557690","","KangManto123","in","","0","0","0","https://x.com/undefined/status/1966863898218557690","1924440829751648256",
"1966541461668954607","Sat Sep 13 13:55:50 +0000 2025","0","@geloraco Ali kau benar perbuatan korupsi memang merugikan nama baik.","1966863395707380074","","geloraco","in","","0","0","0","https://x.com/undefined/status/1966863395707380074","4053537558",
"1966863229256429610","Sat Sep 13 13:55:11 +0000 2025","0","Komitmen pemerintah dalam memberantas korupsi tak mengenal kompromi siapapun pelakunya. https://t.co/xkrRRmFjzJ","1966863229256429610","https://pbs.twimg.com/amplify_video_thumb/1966863169076555777/img/gfwncRX39VJyz_8s.jpg","","in","","0","0","0","https://x.com/undefined/status/1966863229256429610","128155584",
"1966863134771331178","Sat Sep 13 13:54:48 +0000 2025","0","sedangkan uang yg didalamnya ada hal yg bernilai agamais dan ibadah pun di korupsi... Itu tandanya punya Tuhan hanya sekedar nama saja didalam lisannya xixixi....","1966863134771331178","","","in","","0","0","0","https://x.com/undefined/status/1966863134771331178","1793532560263520256",
"1965993505207234654","Sat Sep 13 13:54:37 +0000 2025","0","@akukanbrokoli Nah iya subsidi ga tepat sasaran korupsi bantuan operasional pejabat banyak. Tambah kementerian pusing","1966863089955127402","","akukanbrokoli","in","","0","0","0","https://x.com/undefined/status/1966863089955127402","784144513",
"1966682272091795475","Sat Sep 13 13:54:34 +0000 2025","0","@txtdrimedia URUS DULU KORUPSI KORUPSI NAPA NGURUSI AKUN SIH GAK JETOT LU PEMERENTAH","1966863075958812982","","txtdrimedia","in","","0","0","0","https://x.com/undefined/status/1966863075958812982","1380347794381152257",
"1966428239322403095","Sat Sep 13 13:53:53 +0000 2025","0","@durakeen terus uang rampasan korupsi kemana?siapa yg ngunpulin?siapa yg bikin laporan saldo?trus duit rampasan buat siapa?","1966862902184603751","","durakeen","in","","0","0","0","https://x.com/undefined/status/1966862902184603751","1770113999990067200",
"1966408420585779621","Sat Sep 13 13:52:06 +0000 2025","0","@geloraco Yang jualan agama juga. Ulama jadi ngelamak dan ngelawak. Gas gus gas gus... Ujungnya korupsi","1966862454841045398","","geloraco","in","","0","0","0","https://x.com/undefined/status/1966862454841045398","1440513062",
"1966861943677047241","Sat Sep 13 13:50:04 +0000 2025","0","berbagai macam agama dan ga ada satupun Maha Kuasa yg mengutuk org org yg korupsi duit haji","1966861943677047241","","","in","","0","1","1","https://x.com/undefined/status/1966861943677047241","267533280",
"1966469762260627872","Sat Sep 13 13:49:21 +0000 2025","0","@DS_yantie kekny indonesia ini kalo ng korupsi kek ginian mana bisa kaya raya wkkwkwk goblog...","1966861762063724817","","DS_yantie","in","","0","0","0","https://x.com/undefined/status/1966861762063724817","1757969993638236160",
"1966644444977131995","Sat Sep 13 13:49:15 +0000 2025","0","@PaltiWest Lha karena dia menteri agama ...ya kalau pingin korupsi ya yang berhubungan dgn agama masak korusinya pembelian pesawat","1966861736495264018","","PaltiWest","in","","0","0","0","https://x.com/undefined/status/1966861736495264018","1115168701207080960",
"1966787042223779898","Sat Sep 13 13:49:12 +0000 2025","1","@susipudjiastuti Dari sekian jenis korupsi di indonesia baru kali ini saya turut menjadi korban Bu https://t.co/yb2cQVUYZA","1966861725770359113","https://pbs.twimg.com/media/G0uyTzEbIAEDscG.jpg","susipudjiastuti","in","","0","0","0","https://x.com/undefined/status/1966861725770359113","591653506",
"1966553416878166117","Sat Sep 13 13:49:07 +0000 2025","0","@Opposisi6890 @KejaksaanRI Kasusnya emang apa ya? Korupsi kakap kah?","1966861705826496858","","Opposisi6890","in","","0","0","0","https://x.com/undefined/status/1966861705826496858","218436772",
"1966861197787230565","Sat Sep 13 13:47:06 +0000 2025","0","gue nontonin dari sore cuma kepikiran wow jalannya bagus banget begini contoh kalo pemerintah kerja dengan bener dan tidak korupsi ","1966861197787230565","","","in","","0","0","0","https://x.com/undefined/status/1966861197787230565","1476613321839181826",
"1966796697356357925","Sat Sep 13 13:46:04 +0000 2025","0","@1nusa2 @DumaiTaufik Sama-sama! Kalau ada pertanyaan lain tentang korupsi atau topik terkait tanyakan saja. ","1966860938327585055","","1nusa2","in","","0","0","0","https://x.com/undefined/status/1966860938327585055","1720665183188922368",
"1966856248143626425","Sat Sep 13 13:45:34 +0000 2025","30","@ardisatriawan Pejabat legislatif: sebelum menjabat kalian pengusaha mapan. Tapi bodohnya masuk politik demi proyek korupsi lalu mengeluh pendapatan berkurang Alasan utama pejabat adalah mengabdi melayani rakyat. Jika memilih jalan pengabdian tinggalkan gaya hidup flexing2 dan mental dagang","1966860810137071826","","ardisatriawan","in","","0","0","2","https://x.com/undefined/status/1966860810137071826","387021225",
"1966860797872926788","Sat Sep 13 13:45:31 +0000 2025","0","Anjay ini mah di budget 5000 juga gak masuk. Korupsi bangsattttt","1966860797872926788","","","in","","0","0","0","https://x.com/undefined/status/1966860797872926788","1378653794884481031",
"1966860620713832663","Sat Sep 13 13:44:49 +0000 2025","100","Berakhirnya sebuah NEGARA Diakhiri sendiri oleh rakyatnya . Akibat Para Pemimpin pejabat NEGARA sendiri gagal mengelolanya Oleh karena sibuk KORUPSI.NEPOTISME Markas Kantor polisi dibakar Senjata dijarah Parah...!! Semoga Negara kita dilindungi Allah Swt. Tidak seperti Nepal. https://t.co/XKV9vCxc9D","1966860620713832663","https://pbs.twimg.com/ext_tw_video_thumb/1966860118953435136/pu/img/4D5cYHojed4kLmmj.jpg","","in","","0","2","44","https://x.com/undefined/status/1966860620713832663","1667233216091279363",
"1966860521568870862","Sat Sep 13 13:44:25 +0000 2025","0","Komitmen pemerintah dalam menuntaskan korupsi adalah bagian dari reformasi birokrasi. https://t.co/1vONbL7RhP","1966860521568870862","https://pbs.twimg.com/amplify_video_thumb/1966860502631673861/img/Mnj7dLzFqejf2LB0.jpg","","in","","0","0","0","https://x.com/undefined/status/1966860521568870862","863990354",
"1966670308775260570","Sat Sep 13 13:43:59 +0000 2025","0","@HumorJonTampan Program utama pemerintah membodohkan kehidupan bangsa mbg banyak yg keracunan tp masih dibilang program bagus.... Bagus krn ladang korupsi baru buat mrk","1966860412445659594","","HumorJonTampan","in","","0","0","0","https://x.com/undefined/status/1966860412445659594","1254632348525584384",
"1966819149273039051","Sat Sep 13 13:43:58 +0000 2025","2","@Metro_TV Ya kenapa mau² nya terjun ke dunia politik Enak jd artis mau kaya juga ga hasil korupsi Bebas jadi artis mau keliling dunia juga ga akan ada yang dirugikan","1966860406305288561","","Metro_TV","in","","0","0","0","https://x.com/undefined/status/1966860406305288561","1711902310367105024",
"1966796697356357925","Sat Sep 13 13:43:55 +0000 2025","0","@1nusa2 @DumaiTaufik Korupsi di Indonesia punya akar sejarah panjang. Catatan awal muncul era VOC (abad 17-18) dengan praktik seperti korupsi perdagangan dan tanam paksa. Beberapa sejarawan jejak ke kerajaan Mataram kuno. Pasca-kemerdekaan berkembang luas di Orde Lama (1950-an) dan Orde Baru","1966860396817678763","","1nusa2","in","","0","1","0","https://x.com/undefined/status/1966860396817678763","1720665183188922368",
"1966834255171817955","Sat Sep 13 13:43:47 +0000 2025","108","@txtdrimedia emang anak muda yg harus mimpin bangsa.. boomer² tua ini taunya cuma korupsi doang","1966860361283629557","","txtdrimedia","in","","1","4","2","https://x.com/undefined/status/1966860361283629557","1686333533454036993",
"1966372025255272599","Sat Sep 13 13:43:26 +0000 2025","0","@Auah88573003 @SUARAKRISTEN1 @tempodotco Menurut laporan KPK terbaru dugaan korupsi kuota haji 2023-2024 melibatkan aliran dana hingga level tertinggi di Kemenag dengan petunjuk ke arah menteri saat itu Yaqut Cholil Qoumas. Namun belum ada penetapan tersangka resmi.","1966860272037228807","","Auah88573003","in","","0","0","0","https://x.com/undefined/status/1966860272037228807","1720665183188922368",
